uid,province,district,name,electionday,pre,abroad,dis,cons,NVoters,NValid,Votes,isprevote,type,isabroad,isdisab,constit
15760,15692,gyeiyanggueul,gyeisan1dongjei4tu,1,0,0,0,Incheon Metropolitan City_11,142131,53541,28980,FALSE,p,FALSE,FALSE,Incheon Metropolitan City_11
15776,15692,gyeiyanggueul,prevote_in,0,1,0,0,Incheon Metropolitan City_11,142131,34683,22769,TRUE,p,FALSE,FALSE,Incheon Metropolitan City_11
15753,15692,gyeiyanggueul,abroad,0,0,1,0,Incheon Metropolitan City_11,371,88,68,FALSE,d,TRUE,FALSE,Incheon Metropolitan City_11
16374,15692,seogugab,abroad_office,1,0,0,0,Incheon Metropolitan City_12,225295,88101,43629,FALSE,d,FALSE,FALSE,Incheon Metropolitan City_12
16394,15692,seogugab,prevote_in,0,1,0,0,Incheon Metropolitan City_12,225295,54670,32347,TRUE,p,FALSE,FALSE,Incheon Metropolitan City_12
16373,15692,seogugab,abroad,0,0,1,0,Incheon Metropolitan City_12,532,121,92,FALSE,d,TRUE,FALSE,Incheon Metropolitan City_12
16503,15692,seogueul,geomdandongjei6tu,1,0,0,0,Incheon Metropolitan City_13,220717,84280,49036,FALSE,p,FALSE,FALSE,Incheon Metropolitan City_13
16463,15692,seogueul,prevote_out,0,1,0,0,Incheon Metropolitan City_13,220717,51285,34504,TRUE,d,FALSE,FALSE,Incheon Metropolitan City_13
16464,15692,seogueul,abroad,0,0,1,0,Incheon Metropolitan City_13,676,165,128,FALSE,d,TRUE,FALSE,Incheon Metropolitan City_13
16090,15692,donggumichuholgugab_michuholgu,juan6dongjei2tu,1,0,0,0,Incheon Metropolitan City_2,221506,75344,33798,FALSE,p,FALSE,FALSE,Incheon Metropolitan City_2
15990,15692,donggumichuholgugab_donggu,prevote_out,0,1,0,0,Incheon Metropolitan City_2,221506,54653,29576,TRUE,d,FALSE,FALSE,Incheon Metropolitan City_2
16041,15692,donggumichuholgugab_michuholgu,abroad,0,0,1,0,Incheon Metropolitan City_2,390,103,71,FALSE,d,TRUE,FALSE,Incheon Metropolitan City_2
16174,15692,donggumichuholgueul_michuholgu,hagig2dongjei3tu,1,0,0,0,Incheon Metropolitan City_3,186812,68628,29428,FALSE,p,FALSE,FALSE,Incheon Metropolitan City_3
16171,15692,donggumichuholgueul_michuholgu,prevote_in,0,1,0,0,Incheon Metropolitan City_3,186812,45780,17054,TRUE,p,FALSE,FALSE,Incheon Metropolitan City_3
16116,15692,donggumichuholgueul_michuholgu,abroad,0,0,1,0,Incheon Metropolitan City_3,448,119,10,FALSE,d,TRUE,FALSE,Incheon Metropolitan City_3
16540,15692,yeonsugugab,disabled_ship,0,0,0,1,Incheon Metropolitan City_4,124547,0,0,FALSE,d,FALSE,TRUE,Incheon Metropolitan City_4
16552,15692,yeonsugugab,prevote_in,0,1,0,0,Incheon Metropolitan City_4,124547,32686,20584,TRUE,p,FALSE,FALSE,Incheon Metropolitan City_4
16542,15692,yeonsugugab,abroad,0,0,1,0,Incheon Metropolitan City_4,409,110,82,FALSE,d,TRUE,FALSE,Incheon Metropolitan City_4
16629,15692,yeonsugueul,songdo1dongjei2tu,1,0,0,0,Incheon Metropolitan City_5,175670,80880,30713,FALSE,p,FALSE,FALSE,Incheon Metropolitan City_5
16656,15692,yeonsugueul,prevote_in,0,1,0,0,Incheon Metropolitan City_5,175670,45303,21982,TRUE,p,FALSE,FALSE,Incheon Metropolitan City_5
