uid,province,district,name,electionday,pre,abroad,dis,cons,NVoters,NValid,Votes,isprevote,type,isabroad,isdisab,constit,eday
12547,9076,yonginsieul,abroad,0,0,1,0,Gyeonggi-do_43,997,252,185,FALSE,d,TRUE,FALSE,Gyeonggi-do_43,FALSE
12521,9076,yonginsibyeong,sanghyeon1dongjei2tu,1,0,0,0,Gyeonggi-do_44,223446,103892,48125,FALSE,p,FALSE,FALSE,Gyeonggi-do_44,TRUE
12508,9076,yonginsibyeong,prevote_in,0,1,0,0,Gyeonggi-do_44,223446,59528,36087,TRUE,p,FALSE,FALSE,Gyeonggi-do_44,FALSE
12469,9076,yonginsibyeong,abroad,0,0,1,0,Gyeonggi-do_44,1770,447,279,FALSE,d,TRUE,FALSE,Gyeonggi-do_44,FALSE
12681,9076,yonginsijeong,dongbaeg1dongjei3tu,1,0,0,0,Gyeonggi-do_45,205539,94857,46025,FALSE,p,FALSE,FALSE,Gyeonggi-do_45,TRUE
12638,9076,yonginsijeong,prevote_in,0,1,0,0,Gyeonggi-do_45,205539,54027,33515,TRUE,p,FALSE,FALSE,Gyeonggi-do_45,FALSE
12635,9076,yonginsijeong,abroad,0,0,1,0,Gyeonggi-do_45,1401,346,244,FALSE,d,TRUE,FALSE,Gyeonggi-do_45,FALSE
13125,9076,pajusigab,unjeong3dongjei13tu,1,0,0,0,Gyeonggi-do_46,219134,95268,54979,FALSE,p,FALSE,FALSE,Gyeonggi-do_46,TRUE
13073,9076,pajusigab,prevote_in,0,1,0,0,Gyeonggi-do_46,219134,44096,29903,TRUE,p,FALSE,FALSE,Gyeonggi-do_46,FALSE
13045,9076,pajusigab,abroad,0,0,1,0,Gyeonggi-do_46,849,227,171,FALSE,d,TRUE,FALSE,Gyeonggi-do_46,FALSE
13184,9076,pajusieul,papyeongmyeonjei4tu,1,0,0,0,Gyeonggi-do_47,150668,55745,27541,FALSE,p,FALSE,FALSE,Gyeonggi-do_47,TRUE
13212,9076,pajusieul,prevote_in,0,1,0,0,Gyeonggi-do_47,150668,33506,20935,TRUE,p,FALSE,FALSE,Gyeonggi-do_47,FALSE
13133,9076,pajusieul,abroad,0,0,1,0,Gyeonggi-do_47,400,121,89,FALSE,d,TRUE,FALSE,Gyeonggi-do_47,FALSE
12977,9076,icheonsi,sindunmyeonjei3tu,1,0,0,0,Gyeonggi-do_48,178590,62898,25911,FALSE,p,FALSE,FALSE,Gyeonggi-do_48,TRUE
13034,9076,icheonsi,prevote_in,0,1,0,0,Gyeonggi-do_48,178590,45748,23697,TRUE,p,FALSE,FALSE,Gyeonggi-do_48,FALSE
12951,9076,icheonsi,abroad,0,0,1,0,Gyeonggi-do_48,426,99,73,FALSE,d,TRUE,FALSE,Gyeonggi-do_48,FALSE
11772,9076,anseongsi,miyangmyeonjei2tu,1,0,0,0,Gyeonggi-do_49,154643,55578,26635,FALSE,p,FALSE,FALSE,Gyeonggi-do_49,TRUE
11802,9076,anseongsi,prevote_in,0,1,0,0,Gyeonggi-do_49,154643,40954,23026,TRUE,p,FALSE,FALSE,Gyeonggi-do_49,FALSE
11736,9076,anseongsi,abroad,0,0,1,0,Gyeonggi-do_49,378,71,40,FALSE,d,TRUE,FALSE,Gyeonggi-do_49,FALSE
11081,9076,suwueonsimu,gogseondongjei5tu,1,0,0,0,Gyeonggi-do_5,228950,94384,48856,FALSE,p,FALSE,FALSE,Gyeonggi-do_5,TRUE
11041,9076,suwueonsimu,prevote_in,0,1,0,0,Gyeonggi-do_5,228950,53906,33007,TRUE,p,FALSE,FALSE,Gyeonggi-do_5,FALSE
11033,9076,suwueonsimu,abroad,0,0,1,0,Gyeonggi-do_5,798,211,136,FALSE,d,TRUE,FALSE,Gyeonggi-do_5,FALSE
9915,9076,gimposigab,janggidongjei3tu,1,0,0,0,Gyeonggi-do_50,165143,75201,37679,FALSE,p,FALSE,FALSE,Gyeonggi-do_50,TRUE
9912,9076,gimposigab,prevote_in,0,1,0,0,Gyeonggi-do_50,165143,35460,20818,TRUE,p,FALSE,FALSE,Gyeonggi-do_50,FALSE
9878,9076,gimposigab,abroad,0,0,1,0,Gyeonggi-do_50,664,164,113,FALSE,d,TRUE,FALSE,Gyeonggi-do_50,FALSE
10000,9076,gimposieul,unyangdongjei5tu,1,0,0,0,Gyeonggi-do_51,186714,74462,37606,FALSE,p,FALSE,FALSE,Gyeonggi-do_51,TRUE
9980,9076,gimposieul,prevote_in,0,1,0,0,Gyeonggi-do_51,186714,42767,25470,TRUE,p,FALSE,FALSE,Gyeonggi-do_51,FALSE
9942,9076,gimposieul,abroad,0,0,1,0,Gyeonggi-do_51,581,159,116,FALSE,d,TRUE,FALSE,Gyeonggi-do_51,FALSE
13756,9076,hwaseongsigab,jeongnammyeonjei3tu,1,0,0,0,Gyeonggi-do_52,198962,71756,33120,FALSE,p,FALSE,FALSE,Gyeonggi-do_52,TRUE
13676,9076,hwaseongsigab,prevote_out,0,1,0,0,Gyeonggi-do_52,198962,46329,25487,TRUE,d,FALSE,FALSE,Gyeonggi-do_52,FALSE
13677,9076,hwaseongsigab,abroad,0,0,1,0,Gyeonggi-do_52,466,113,82,FALSE,d,TRUE,FALSE,Gyeonggi-do_52,FALSE
13892,9076,hwaseongsieul,dongtan5dongjei3tu,1,0,0,0,Gyeonggi-do_53,223569,98543,60635,FALSE,p,FALSE,FALSE,Gyeonggi-do_53,TRUE
13854,9076,hwaseongsieul,prevote_out,0,1,0,0,Gyeonggi-do_53,223569,54084,37854,TRUE,d,FALSE,FALSE,Gyeonggi-do_53,FALSE
13855,9076,hwaseongsieul,abroad,0,0,1,0,Gyeonggi-do_53,729,173,121,FALSE,d,TRUE,FALSE,Gyeonggi-do_53,FALSE
13827,9076,hwaseongsibyeong,banwueoldongjei5tu,1,0,0,0,Gyeonggi-do_54,219047,87404,53720,FALSE,p,FALSE,FALSE,Gyeonggi-do_54,TRUE
13822,9076,hwaseongsibyeong,prevote_in,0,1,0,0,Gyeonggi-do_54,219047,50213,34957,TRUE,p,FALSE,FALSE,Gyeonggi-do_54,FALSE
13778,9076,hwaseongsibyeong,abroad,0,0,1,0,Gyeonggi-do_54,604,150,115,FALSE,d,TRUE,FALSE,Gyeonggi-do_54,FALSE
9592,9076,gwangjusigab,twaichonmyeonjei2tu,1,0,0,0,Gyeonggi-do_55,156436,59012,31089,FALSE,p,FALSE,FALSE,Gyeonggi-do_55,TRUE
9586,9076,gwangjusigab,prevote_out,0,1,0,0,Gyeonggi-do_55,156436,35643,22039,TRUE,d,FALSE,FALSE,Gyeonggi-do_55,FALSE
9587,9076,gwangjusigab,abroad,0,0,1,0,Gyeonggi-do_55,454,118,88,FALSE,d,TRUE,FALSE,Gyeonggi-do_55,FALSE
9686,9076,gwangjusieul,gonjiameubjei3tu,1,0,0,0,Gyeonggi-do_56,155129,60600,32103,FALSE,p,FALSE,FALSE,Gyeonggi-do_56,TRUE
9649,9076,gwangjusieul,prevote_out,0,1,0,0,Gyeonggi-do_56,155129,31523,20277,TRUE,d,FALSE,FALSE,Gyeonggi-do_56,FALSE
9650,9076,gwangjusieul,abroad,0,0,1,0,Gyeonggi-do_56,485,115,84,FALSE,d,TRUE,FALSE,Gyeonggi-do_56,FALSE
12056,9076,yangjusi,disabled_ship,0,0,0,1,Gyeonggi-do_57,184319,0,0,FALSE,d,FALSE,TRUE,Gyeonggi-do_57,FALSE
12088,9076,yangjusi,prevote_in,0,1,0,0,Gyeonggi-do_57,184319,45215,31022,TRUE,p,FALSE,FALSE,Gyeonggi-do_57,FALSE
12058,9076,yangjusi,abroad,0,0,1,0,Gyeonggi-do_57,485,110,88,FALSE,d,TRUE,FALSE,Gyeonggi-do_57,FALSE
13479,9076,pocheonsigapyeonggun_pocheonsi,disabled_ship,0,0,0,1,Gyeonggi-do_58,183572,0,0,FALSE,d,FALSE,TRUE,Gyeonggi-do_58,FALSE
13471,9076,pocheonsigapyeonggun_gapyeonggun,prevote_in,0,1,0,0,Gyeonggi-do_58,183572,43204,23370,TRUE,p,FALSE,FALSE,Gyeonggi-do_58,FALSE
13429,9076,pocheonsigapyeonggun_gapyeonggun,abroad,0,0,1,0,Gyeonggi-do_58,165,39,28,FALSE,d,TRUE,FALSE,Gyeonggi-do_58,FALSE
12244,9076,yeojusiyangpyeonggun_yeojusi,ganameubjei6tu,1,0,0,0,Gyeonggi-do_59,196864,73292,25108,FALSE,p,FALSE,FALSE,Gyeonggi-do_59,TRUE
12262,9076,yeojusiyangpyeonggun_yeojusi,prevote_in,0,1,0,0,Gyeonggi-do_59,196864,54924,26359,TRUE,p,FALSE,FALSE,Gyeonggi-do_59,FALSE
12230,9076,yeojusiyangpyeonggun_yeojusi,abroad,0,0,1,0,Gyeonggi-do_59,230,42,32,FALSE,d,TRUE,FALSE,Gyeonggi-do_59,FALSE
10848,9076,seongnamsisujeonggu,siheungdongtupyoso,1,0,0,0,Gyeonggi-do_6,204582,71795,40152,FALSE,p,FALSE,FALSE,Gyeonggi-do_6,TRUE
10843,9076,seongnamsisujeonggu,prevote_in,0,1,0,0,Gyeonggi-do_6,204582,55362,36516,TRUE,p,FALSE,FALSE,Gyeonggi-do_6,FALSE
10760,9076,seongnamsisujeonggu,abroad,0,0,1,0,Gyeonggi-do_6,717,198,144,FALSE,d,TRUE,FALSE,Gyeonggi-do_6,FALSE
10944,9076,seongnamsijungwueongu,dochondongjei6tu,1,0,0,0,Gyeonggi-do_7,191791,68246,34053,FALSE,p,FALSE,FALSE,Gyeonggi-do_7,TRUE
10921,9076,seongnamsijungwueongu,prevote_in,0,1,0,0,Gyeonggi-do_7,191791,52365,31806,TRUE,p,FALSE,FALSE,Gyeonggi-do_7,FALSE
10867,9076,seongnamsijungwueongu,abroad,0,0,1,0,Gyeonggi-do_7,488,111,82,FALSE,d,TRUE,FALSE,Gyeonggi-do_7,FALSE
10632,9076,seongnamsibundanggugab,yatab3dongjei7tu,1,0,0,0,Gyeonggi-do_8,206505,96564,42453,FALSE,p,FALSE,FALSE,Gyeonggi-do_8,TRUE
10612,9076,seongnamsibundanggugab,prevote_in,0,1,0,0,Gyeonggi-do_8,206505,59111,34320,TRUE,p,FALSE,FALSE,Gyeonggi-do_8,FALSE
10582,9076,seongnamsibundanggugab,abroad,0,0,1,0,Gyeonggi-do_8,1599,367,226,FALSE,d,TRUE,FALSE,Gyeonggi-do_8,FALSE
10712,9076,seongnamsibundanggueul,jeongja2dongjei3tu,1,0,0,0,Gyeonggi-do_9,193608,88419,37347,FALSE,p,FALSE,FALSE,Gyeonggi-do_9,TRUE
10671,9076,seongnamsibundanggueul,prevote_out,0,1,0,0,Gyeonggi-do_9,193608,53863,30834,TRUE,d,FALSE,FALSE,Gyeonggi-do_9,FALSE
10672,9076,seongnamsibundanggueul,abroad,0,0,1,0,Gyeonggi-do_9,1631,361,204,FALSE,d,TRUE,FALSE,Gyeonggi-do_9,FALSE
8981,7225,pohangsibuggu,singwangmyeonjei1tu,1,0,0,0,Gyeongsangbuk-do_1,229205,98524,27999,FALSE,p,FALSE,FALSE,Gyeongsangbuk-do_1,TRUE
8998,7225,pohangsibuggu,prevote_in,0,1,0,0,Gyeongsangbuk-do_1,229205,54037,19863,TRUE,p,FALSE,FALSE,Gyeongsangbuk-do_1,FALSE
8961,7225,pohangsibuggu,abroad,0,0,1,0,Gyeongsangbuk-do_1,507,111,62,FALSE,d,TRUE,FALSE,Gyeongsangbuk-do_1,FALSE
8124,7225,sangjusimungyeongsi_mungyeongsi,sanbugmyeontupyoso,1,0,0,0,Gyeongsangbuk-do_10,150486,48689,7045,FALSE,p,FALSE,FALSE,Gyeongsangbuk-do_10,TRUE
8207,7225,sangjusimungyeongsi_sangjusi,prevote_in,0,1,0,0,Gyeongsangbuk-do_10,150486,52414,11194,TRUE,p,FALSE,FALSE,Gyeongsangbuk-do_10,FALSE
8101,7225,sangjusimungyeongsi_mungyeongsi,abroad,0,0,1,0,Gyeongsangbuk-do_10,103,24,13,FALSE,d,TRUE,FALSE,Gyeongsangbuk-do_10,FALSE
7297,7225,gyeongsansi,dongbudongjei10tu,1,0,0,0,Gyeongsangbuk-do_11,223931,90504,21211,FALSE,p,FALSE,FALSE,Gyeongsangbuk-do_11,TRUE
7266,7225,gyeongsansi,prevote_in,0,1,0,0,Gyeongsangbuk-do_11,223931,48479,16538,TRUE,p,FALSE,FALSE,Gyeongsangbuk-do_11,FALSE
7235,7225,gyeongsansi,abroad,0,0,1,0,Gyeongsangbuk-do_11,440,107,59,FALSE,d,TRUE,FALSE,Gyeongsangbuk-do_11,FALSE
7860,7225,gunwiguneuiseongguncheongsonggunyeongdeoggun_yeongdeoggun,dalsanmyeonjei1tu,1,0,0,0,Gyeongsangbuk-do_12,127451,38776,6349,FALSE,p,FALSE,FALSE,Gyeongsangbuk-do_12,TRUE
7871,7225,gunwiguneuiseongguncheongsonggunyeongdeoggun_yeongdeoggun,prevote_in,0,1,0,0,Gyeongsangbuk-do_12,127451,51376,10698,TRUE,p,FALSE,FALSE,Gyeongsangbuk-do_12,FALSE
7802,7225,gunwiguneuiseongguncheongsonggunyeongdeoggun_gunwigun,abroad,0,0,1,0,Gyeongsangbuk-do_12,31,12,6,FALSE,d,TRUE,FALSE,Gyeongsangbuk-do_12,FALSE
7487,7225,goryeonggunseongjugunchilgoggun_goryeonggun,daegayaeubjei4tu,1,0,0,0,Gyeongsangbuk-do_13,165382,61223,12793,FALSE,p,FALSE,FALSE,Gyeongsangbuk-do_13,TRUE
7479,7225,goryeonggunseongjugunchilgoggun_goryeonggun,prevote_out,0,1,0,0,Gyeongsangbuk-do_13,165382,42730,12154,TRUE,d,FALSE,FALSE,Gyeongsangbuk-do_13,FALSE
7524,7225,goryeonggunseongjugunchilgoggun_seongjugun,abroad,0,0,1,0,Gyeongsangbuk-do_13,55,15,8,FALSE,d,TRUE,FALSE,Gyeongsangbuk-do_13,FALSE
8884,7225,pohangsinamguulreunggun_pohangsinamgu,daesongmyeonjei2tu,1,0,0,0,Gyeongsangbuk-do_2,206209,86145,27009,FALSE,p,FALSE,FALSE,Gyeongsangbuk-do_2,TRUE
8828,7225,pohangsinamguulreunggun_ulreunggun,prevote_in,0,1,0,0,Gyeongsangbuk-do_2,206209,47705,18885,TRUE,p,FALSE,FALSE,Gyeongsangbuk-do_2,FALSE
8845,7225,pohangsinamguulreunggun_pohangsinamgu,abroad,0,0,1,0,Gyeongsangbuk-do_2,405,114,72,FALSE,d,TRUE,FALSE,Gyeongsangbuk-do_2,FALSE
